"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","6.2438","37627324.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","9.16","595502344.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","13.745","109311153.53","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","35.75","924741103","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.95","452575071.9","56927682","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","38.28","1794572486.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","33.34","893290989.14","26793371","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jobs",
"CAFD","8point3 Energy Partners LP","14.4","1022611075.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","15.43","1383775746.95","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","16.655","377476214.89","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","29.11","856689310.02","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","28.8","1524233232","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","51.61","1162928130","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","5.99","200938760.97","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","3.25","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","3.8401","97062912.8942","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","128.58","5533355565.78","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.69","228214728.69","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","16.47","912372811.74","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","103.09","3691435689.37","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","6.52","328499233.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","49.54","4330629262.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","31.8","3625380115.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","1.7874","19146696.7212","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","27.25","1395975317","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","36.19","1360624247.29","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","23.92","253257640.48","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","6.36","518815041.12","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.89","176264621.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","18.99","563028129.36","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","4.78","127528975.56","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","8.09","1105748383.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","19.38","2270788359.96","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","25.61","548448317.17","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acrs",
"ACNB","ACNB Corporation","26.59","161050471.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acnb",
